Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
512441, 1.11, --, --, --, 31.11, enbee-trade--finance-ltd
539392, 7.37, --, --, --, 0.05, sang-froid-labs-(india)-ltd
531600, 16.99, 0.01, 10.34, 4.63, 1.73, gogia-capital-services-limited
514354, 50.59, 0.48, 12.10, 9.87, 2.48, premier-polyfilm-ltd
524828, 50.98, 0.39, 13.56, 11.34, 6.61, bdh-industries-ltd
533608, 55.98, 0.20, 15.01, 10.95, 1.44, rdb-rasayans-ltd
531744, 82.43, 0.27, 12.19, 8.57, 4.23, gini-silk-mills-ltd
532172, 105.77, 0.26, --, --, 0.73, sphere-global-services-ltd
524774, 153.21, 0.34, 27.73, 25.38, 23.73, ngl-fine-chem-ltd
530441, 650.00, --, --, --, 0.00, mahanivesh-(india)-ltd
507488, 675.19, 0.21, 21.01, 14.76, 30.12, gmbreweries-ltd
500148, 1397.29, 0.38, 11.68, 8.41, 51.88, uflex-ltd
532541, 3540.93, 0.02, 17.81, 14.47, 37.70, niit-technologies-ltd
